,input,reply
227,what is the widthdimension of the steering wheel,85 inches
228,do the eyes open and close,yes they do
229,is this game for the leappad 2,yes it is
230,what is the beginning age for this to,one year
231,what is the length of these tip to tail,5 inches long
232,is an e maxx with a brushed motor totally waterproof,yes it is
233,how wide is it,40 inches
234,what are the charging time and the flight time,about 10 min
235,how long is it,30 inches
236,would this fit a traxxas slash 4x4 vxl,yes it will
237,can this game be played w just 2 players,yes absolutely
238,are cowboys included,yes they are
239,how many arrows in refill kit,three
240,will these work with zing air z curve bow,yes they will
241,do these work on the zombie slayer z curve bow,i dont know
242,how long does it take to charge,about 25 min
243,when assembled how tall is the kitchen,about 3 feet
244,will this fit on a 2wd slash raptor,yes it will
245,how long is it,8 12 inches
246,do they glow in the dark,no they dont
247,how big tall is this,about 7 inches
248,how many slime barels are there in one order,only one
249,is it made in china,yes it is
250,is it the one in the picture,yes it is
251,how big is the ring,its too small
252,is it white or brown,white
253,where is this toy manufactured,in china
254,what is the highest height the handles raise to,about 3 feet
255,what are the measurements how talllong,15 inches long
256,are the batteries replaceable,not really
257,does it come with letter amp number stamp set,unfortunately no
258,how long does it take to charge,about 7 hours
259,how many come in one package,four
260,does it have the controller,yes it has
261,what is the height of these figures,375 inches
262,is this shipped in an amazon box,mine was
263,are the eyes open and close sleepy eyes,yes they are
264,what is the size of the firgure in inches exactly,5 12 inches
265,what is the height of the seat from the floor,about 7 inches
266,is this a gallon,yes it is
267,is this fuel good for cox 049 motors,i think so
268,how wide is this kitchen,24 inches
269,how big is it,about 8 inches
270,where are they made,made in china
271,do they stand on their own,yes they do
272,good morning this toy is bilingual has the two languages,only english
273,do these cars have the rubber treds on the tires,yes they do
274,do the trucks light up,no they dont
275,has this item been treated with fire retardant,i dont know
276,do the back doors open,yes they do
277,how long does it take to charge by usb,about 45 minutes
278,what tyep is it,what
279,is this a real tarakatomy,yes it is
280,how tall is this doll,13 inches
281,can this doll sit up on her own unsupported,yes she can
282,do the eyes open and close,yes they do
283,will this bind with dx6i,yes it will
284,can phase 10 cards be used to play uno,yes it can
285,will this work on the leap pad 1,yes it will
286,how tall is it in sitting position thanks,about 8 9 inches
287,are the pieces numbered,yes they are
288,how tall is this,about 16
289,are the eyes stitched or are they buttons,buttons
290,ship to italy,sorry no
291,will a 11 year old enjoy this,absolutely
292,is the built in seat included,yes it is
293,after inflation how much does it weigh by itself,4 pounds
294,how tall is the item,about 7
295,what is the inside diameter of the center hole,one inch
296,is it bigger on the inside,of course
297,is this authentic,yes it is
298,how do these work,i dont know
299,are they glass or plastic,they are plastic
300,is it a toy,yes it is
301,how long is it,about 12
302,what is the approx flying time per charge,about 20 minutes
303,how many guns does it come with,only one
304,can these fit weiss schwarz cards,yes they do
305,is singapore marked on the globe,yes it is
306,are these hex head screws,yes they are
307,is it made in china,yes it is
308,do the front wheels on this model swivel,yes they do
309,do they come lubricated,yes they do
310,does it have to be glued together,yes it is
311,how many are in a box,50 per box
312,do they come with the rims,yes they do
313,do they fit with the ikea plastic tipped tracks,yes they do
314,how tall are these dolls,about 5 inches
315,how long are the blades,3 12 inches
316,will these fit on a hak 325,dont think so
317,is his body cloth or vinyl,cloth
318,is it transparent,yes it is
319,is this model also android compatible,yes it is
320,will this work for a tmaxx 33,it should
321,is it a full size pillow pet,yes it is
322,how tall is the panda domo,about 10 inches
323,how tall are these figures,2 inches
324,is this doll can sit up,yes it can
325,the chassis is aluminum,yes it is
326,can this be used in a school classroom,yes it can
327,is it electric for the air hockey,yes it is
328,is this electronic dart board a regulation 155 inch board,yes it is
329,how much weight does it hold,300 pounds
330,does this come with a microphone,i dont know
331,is this 100 official licensed disney product,yes it is
332,how long is it,about 17 inches
333,is only the kit or batterys are included,batteries are included
334,is it authentic konami merchendise,yes it is
335,do barbie sized dolls fit the furniture,yes they do
336,is this necklass for maless or females,both
337,what are the dimensions of this stroller,nothing
338,can she sit,yes she can
339,is there writing on the back time date place etc,yes there is
340,can it drive on grass,yes it can
341,whats the battery charging time,about 40 minutes
342,is the bey left spin or right,both
343,how tall is this action figure,about 6
344,what size dolls work with the playset,11 inch
345,do they light up at all,yes they do
346,how tall is each figure,six inches
347,whats the difference between the deluxe and regular sword,nothing
348,is there and led light on the sword,no there isnt
349,does anyone know if this is bpa free,i dont know
350,is the sink removable,yes it is
351,what is the diameter of the plates and pots,4 inches
352,how many in a pack,three
353,how many inches,8 inches
354,how big is it,17 inches
355,how tall are the adult dolls,about five inches
356,is this left handed or right handed,right handed
357,how long are the sticks that hold the pinwheels,about 12 inches
358,how much weight does it support,about 30 pounds
359,what color is the ribbon that it comes with,white
360,how tall is this figure,6 inches
361,how many players,2 6 players
362,do these match up with lincoln logs,yes they do
363,is the figure in a sealed box,yes it was
364,will it work at night,not really
365,what color is the bed frame white or light pink,white
366,how many hanging clothes can fit into this closet,about 10
367,how long is it,over 12 inches
368,do they work with e flite blade mcx2 2400,yes they do
369,says words in spanish,english only
370,how tall is this,12 inches
371,is it magnetic as well,unfortunately no
372,how big is it,about 16 inches
373,how many mph does it go to,about 8 mph
374,is this one the renewal version,yes it is
375,how tall is he,approx 65 inches
376,how tall is this item,about 5 inches
377,does the shoes come off,yes they do
378,will it fit leap pad ultra,i dont know
379,does this work with the leappad2 explorer,absolutely
380,is this game compatible with the leappad 2,yes it is
381,where are these made,in china
382,how many inches long is this model,10 inches
383,is the front wheel swivel or stationary,stationary
384,what ages is this for,25 years
385,is this carryon made by heyes,yes it is
386,is she in her box,yes of course
387,does this work with the wl v 911,yes it will
388,how tall are they,three inches tall
389,would these fit a 6 year old,yes they will
390,do they work with leappad ultra,yes they do
391,can this bear sit on its own,yes it can
392,what age group for kids is this best for,6 and up
393,are the letter cubes made of plastic or wood,they are plastic
394,how tall are the cars,3 inches
395,do these come in the box,yes they do
396,iis these good figures to get,yes they are
397,what is the size of these figures,375 inches tall
398,is it an actual microphone amplifies the voice thanks,yes it is
399,is the lid on the pot removable,yes it is
400,is the slide pink or red,it is red
401,is the slide red or pink,it is red
402,how long is the slide,48 inches
403,do you ship to uruguay argentina,sorry no
404,is it 4wd,yes it is
405,is the red rubber hurricane iii,yes it is
406,does this have the white face or black face,white
407,is this the common wealth ted,yes it is
408,is is plastic or balsa,its plastic
409,is the boy doll anatomically correct,yes it is
410,has anyone used these with conductor carl tracks,sorry no
411,how much do the shipping to germany cost,free
412,how fast does it go stock,about 30 mph
413,how big are these,3 inches wide
414,can the drress be removed,yes it can
415,what is it made of is it die cast,its plastic
416,is the box in english,yes mine is
417,are the containers dishwasher safe,yes it is
418,do all the containers have their own color lids,yes they do
419,will it work for the ares qx 130,yes it will
420,how tall is it,about 2 inches
421,can any super soaker clip work with this blaster,i think so
422,how tall is the figure,about 7 inches
423,how long does it take to charge the battery,8 hours
424,how many inches tall is it,around 10 inches
425,can this inflate a 60inch balloon,yes it can
426,how tall are they,about 7 tall
427,how tall is this,6 7 inches
428,dose this deck come with doubles,unfortunately no
429,what is the distance between each rung,13 inches
430,how many feet is it,about 8
431,do they match the brio trains,yes they do
432,is he a action figure,yes he is
433,can you please tell me the weight of this canopy,3 pounds
434,what size is she,12 inches
435,how long is the doll,12 inches
436,does it work for the hubsan x4 h107l improved version,yes it works
437,how tall is those figures,about 8 inches
438,whats the length in diameter of one squishie,about 2
439,how many plates in a pack,there were 8
440,how tall is timon,16 inches
441,what are the vegetables made of,hard plastic
442,are these white or clear,clear
443,is it cheap,not at all
444,how big is it,about 4 inches
445,what is the difference between traxxas rtr and traxxas 58034,nothing
446,i cant find a size listed how tall is it,4 inches
447,this card is the usa version,yes it is
448,are these 10 sets of ten,yes it is
449,is this a bandai of japan toy,most definitely yes
450,how fast does this go out of the box,about 35 mph
451,are the cards 1st edition,yes they are
452,is the doll articulated,yes it is
453,how big is lullaby good night elmo toy,approximately 12
454,how tall are the dolls,about 5 6 inches
455,this toy speaks spanish,english only
456,will the ipad air work wih this,yes it will
457,how tall are the figures,6 14 inch
458,how tall is this product,9 10 inches tall
459,for what ages,4 and up
460,please tell me how big is this in inch thx,3 inch
461,how tall is this minion,11 inches
462,how tall is the figure,about 95 inches
463,is the text on the cards written in english,yes they are
464,what is the track length,about 10 ft
465,what is the length of each pen,about 7 inches
466,is this the regular sized doll,yes it is
467,how tall is this doll,12 inches
468,how many inches is katia,13 inches
469,do their dresses come off,yes they do
470,does it come with a battery,yes of course
471,how tall is this item,75 inches
472,how tall is it,i dont know
473,how tall is elsa,14 inches
474,how tall is the doll,8 inches
475,age bracket,5 years old
476,what is the age range,6 to 12
477,does the set come with just one universal plug,with 2
478,what is hallies height,about 16 inches
479,do the wings fold up,yes they do
480,do these characters work with the game app,no they dont
481,is it made of metal,yes it is
482,is this doll made in the us,made in china
483,is the body cloth or plastic,cloth
484,how tall is this in inches,964 inches
485,what is the exact shipping weight please,5 pounds
486,what is the seat height,about 75
487,how tall is it,5 inches
488,is is appropriate for a 3 year old,definitely yes
489,what tools are required to put this toy together,nothing
490,is sophia appropriate for a 3 year old,yes absolutely
491,which ring do you receive the top or bottom,top
492,will this work with leapfrog ultra2 tablet,yes it will
493,can children learn numbers alphabets and shapes,yes they can
494,is this the improved version of the x4,yes it is
495,is the frame wooden,yes it is
496,how tall are the figures,about 3 12
497,will this accept a bluetooth module,yes it will
498,how tall are these figures,maybe 3 inches
499,how tall is the figure,6 inches
500,what diameter are these please,34 inch
501,what is the country of origin,made in china
502,is this 1 ready to run when received,yes it is
503,is the ringarena really necessary or just the two robots,not really
504,does anyone know how many come in one package,one per package
505,are these perfectly round,yes they are
506,would this fit an 18 months old,absolutely
507,can the mommy part be bought separately,unfortunately not
508,what size is this figure,12 inches
509,will these work with the magna tiles,yes they do
510,do they have the effect god cards in here,yes they do
511,is her hair glued,yes it is
512,do any of the rebelle bows come with a target,no they dont
513,can it drive on rough terrain,yes it can
514,how tall is this item,28 inches
515,are you doing serious 2345 and 6 for minecraft,what
516,are the accessories removable shoes tiara,yes they are
517,how tall are these dolls,15 inches
518,ist fit and work with the new dji phantom 2,yes thanks
519,how many inches is it,6 inches
520,is nanobug included to set,yes it is
521,what is the hiehest hieght for the handle,32 inches
522,does hook and pin included in this kit,yes it is
523,how tall are these figures,about 4 inches
524,how tall is this figure from head to feet,6 7 inches
525,what is the recommended age group for this item,5 years old
526,can it hold a gopro,not a chance
527,is it stainless steel,yes it is
528,is this car for inside or outdoors,both
529,can all the characters stand unaided,yes they can
530,how deep is this,about 2 inches
531,are these figures collectables,yes they are
532,how many s clips will be included in the package,about 6
533,are these datong,what
534,will john deer trailer fit on pre perego 6v ih lil tractor,dont know
535,will this trailer fit on the john deere pedal tractor,yes for sure
536,whats the height of the dolls,approximately 11 inches
537,does it work with windows 8,yes perfectly
538,is this a mylar balloon,yes it is
539,is this product a real figma,yes it is
540,where is natalies gourmet kitchen made,in china
541,is it soft,yes very soft
542,are these wheels just plastic or covered by rubber,they are plastic
543,do they come in white,not really
544,is returns accepted,dont know
545,how many lego guy are in there,only one
546,how many do youget in a pack,only one
547,would this make a great gift,yes it would
548,are the wheels plastic or rubber,they are plastic
549,how tall is it,about 5 inches
550,what size is he,6 inches
551,are the colors bright,yes they are
552,are they silicone,yes they are
553,is this the price for one chalkboard easel,that is correct
554,are the easels white or natural beige,mine is white
555,will this fit the phantom 2 vision,yes it will
556,do their knees bend at all thanks,no they dont
557,is this the same one fromtoy r us,yes it is
558,is the dry erase surface magnetic,yes it is
559,are these dolls like a barbie doll size,yes it is
560,are the cards in english,yes they are
561,what is the distance between the pins,14 inch
562,is the mallet supplied with this purchase,yes it is
563,can you use led lightbulbs in this fixture,absolutely
564,are these timers hard wired,yes it is
565,vertical height in inches,8 inches
566,what is the size of center circle,6 inches
567,what is the spacing between the bolts,4 inches
568,will this set work with a bosch ps10,dont know
569,how long is the blade of this product,about 8 10
570,are the wheel hubs metal or plastic,they are metal
571,as is the weight of the grinder,54 pounds
572,does this work as a stylus for most devices,definitely not
573,is this the wrong picture,yes it is
574,no more questions my question has been answered thanks guys,about 25
575,made in what country,made in china
576,is it white light or yellow,white
577,what is the height from floor to seat,about 24 inches
578,does it come with a cover plate,yes works fine
579,is this table top really 3 inches thick,yes it is
580,how far are the blades from the ceiling,about 8
581,can the prongs rotate,unfortunately no
582,are the bit sizes engraved on each bit,yes they are
583,how long is the hose,about 35ft
584,is gorilla glue food safe,absolutely not
585,used for rubber to metal anyone results,sorry not me
586,will it measure over grass,yes it will
587,what is the color of the item,white
588,what is the pipe diameter,2 inch
589,how far apart are the screw holes for mounting,8 inches
590,hi can you ship to the uk,yes we can
591,fits new charge tti,yes works great
592,what is the length of this bulb,48 inches
593,will this replace leviton module 6375 or 6376,yes it will
594,how long is the cable,about 7ft
595,what is the height of the tallest step,18 inches
596,what is total length,58 inches
597,what is the length of this flashlight,4 inches
598,what is the length of the power cord,approx 24 inches
599,can this fan be connected to a wallswitch,yes absolutely
600,what is the color of the beam bluish or yellowish,yellowish
601,what is the width of this belt,three inches
602,will this tool flare 58 and 34 soft copper lines,yes it will
603,will this fit with mansfield 211 model,i think so
604,what is the warranty on reconditioned planer,one year
605,what is the overall width including rails,17 inches
606,how long is the power cord,about 4 feet
607,is it powered by electricity or battery,electricity
608,what is the weight capacity of this unit,600 pounds
609,is this a white color or yellow the shine,white
610,will it fit the rp2301fc,yes it will
611,how long is the ac cord,6 foot
612,is this 6 inch lever and is it 45 degree,yes it is
613,do these have amber or white leds,white
614,how can i replace the clamp on the u23000 lamp,i dont knowsorry
615,does it come with black covers,yes they do
616,how long are these bulbs,36 inches
617,will this work on a 3912 saw,dont know
618,can be code changed infinitely,yes it can
619,how high is the pile,18 inch
620,will this tool cut porcelain tile,yes it will
621,what is the length of this blade,9 inches
622,how long is it,its 22
623,how wide is the rope light,about 12 inch
624,how long is the element in a kettle,135 inches
625,are these metal or plastic,they are metal
626,what is max amp rating,from
627,does this gun use the standard 10 fl oz cartridge,yes it will
628,will this work on 220v,not at all
629,will this work with insteon switches thanks jorge,sorry dont know
630,is this unit compatible with heat pumps,yes it is
631,where is it made is it made in usa,yes it is
632,is the paint suitable for topside on an aluminum boat,absolutely
633,why does it say black finish,its white
634,would this woth with the bosch 11255vrs bulldog xtreme,yes it would
635,will this fit on a 2 pistol belt thanks,yes it would
636,how wide is the incoming slot,about 14
637,is this top and bottom guide,yes it is
638,what is the height of the top step thank you,17 inches
639,how do you open it,what
640,where can i buy glow in dark paint,right here
641,are these nafpa approved,dont know
642,is this model photo electric,yes it is
643,what is the fq range of the rf remote,about 30 40
644,how many remote control keys include with this offer,only one
645,what is the outside diameter,3 18 inches
646,what color is the putty itself,its white
647,how high up will this raise the appliance,approximately 2 inches
648,will it work in harbor freight 10 industrial tilestone saw,sure will
649,hi do you sell the carbon brushes,sorry no
650,will this charge an 18v bampd battery,yes it will
651,are those bulbs low beam,they are both
652,what is the bit size limit,58 inch
653,how difficulteasy is it to replace the light bulbs,very easy
654,where is this tool set made,made in china
655,can be used on 10 inch craftsman table saw,yes it can
656,is this the same as an fc 952 bulb,sorry dont know
657,are there 1 legs or 2 in this set,there are 2
658,is the fixture metal or plastic,its plastic
659,what is the diameter approximately,4 inches
660,will it work with a kitchen faucet,yes it will
661,does this remote work with the bar208hga main unit,i dont knowsorry
662,is the glass replaceable,yes it is
663,will this fit on a standard camper door,yes it will
664,what is the overall length,525 inches
665,are the crystals glass or plastic,they are glass
666,where can i find the warranty information for this product,2 year warranty
667,is this the ariel 300a,yes it is
668,do the units come with batteries,yes they do
669,what is the diameter of the duct,4 inch
670,how far is the top step from the ground,6 foot
671,how many leg tips does it have in one package,four
672,are these lifetime warranty,12 months
673,is this item available in black,it is not
674,how big are the holes,18 inch
675,how long is the wrench,about 14 16
676,how many 2s are in the package,there are 3
677,what is the height of the lamp shade itself,5 inches
678,what are the dimensions of the case,18 by 32
679,is the spigot made from plastic,yes it is
680,does this product work well on leather,yes very well
681,can it shoot t 50 38,do not know
682,does this set come with spaghetti,of course
683,are these attachments equip with a quick disconnect,yes they are
684,can this meter measure down to 01 volts ac,yes it can
685,ia this 16 volt,yes it is
686,are they made in the usa,unfortunately no
687,is the hole round or oval shaped,round
688,what is the warranty on this product manufacturer,5 years
689,are they small enough for watch metal bands,easily
690,do these adapters come with a case,they do not
691,how well does it work on inflating car tires,works fine
692,is this jack aluminum or just aluminum in color,yes it is
693,what color is this light blue or warm white,bright white
694,is the glass clear or cloudy appearance,clear
695,is the glass absolutely clear,yes it is
696,is there a ground and neutral strip in the enclosure,yes both
697,what is the maximum length this stretcher can go,about 20ft
698,will this hose fit a hobart handler 175,yes it will
699,are light bulbs 150 w included,they are not
700,how long is it,5ft long
701,6 point or 12 point sockets and wrenches,both
702,what is the diameter of the individual light,3 inches
703,do these work with the bdcdmt matrix,yes they do
704,solar or electricity,electricity
705,will this work on cardboard boxes,yes it will
706,is this a swivel faucet,yes it swivels
707,can anyone tell me where this lamp is manufactured,china of course
708,how big are the holes,14 inch
709,what is the length of the bolts,approximately 3
710,is this product made in the usa,yes it is
711,is the light led,yes it is
712,can this be used on cast iron tubs,dont know sorry
713,what color is this white bone almond etc,white
714,will this work with n300 m s system,sorry dont know
715,is hpb18 interchangeable with hpb18 ope,yes it is
716,is there a screen on the back,yes there is
717,how thick is the shackleshank on this lock,approximately 14
718,is it comfort height,yes it is
719,how long is the cable,24 inches
720,how tall is the lamp from the botton to top,30 inches
721,how far out from the wall does the faucet extend,9 14 inches
722,can the bulb be replaced easily,yes it can
723,will it work with an led light bulb,yes it will
724,what is the diameter of the inside hole,45 inch
725,what country were they made in,made in china
726,what is the floor to rim height of the cst744s3,15 inch
727,is the shank 12 inch or 14 inch,14 inch
728,how wide is the lip around the sink,approximately 4
729,do these products have an expiration date,5 years
730,is this white or clear,white
731,what size couplers does it come with,14 inch
732,what is the diameter of the mounting plate,approximately 5 inches
733,are these tile white or slightly off white,white
734,what diameter hole required for installation,34 inch
735,exactly how tall is this lamp when assembled,24 inches
736,is this a 120v 60hz light bulb,yes it is
737,is the actual ring padded or just the lid,both
738,is this considered a anti scald mixing valve thanks,yes it is
739,is this lamp ul listed,yes it is
740,are the seat and lid hinges included,yes they are
741,where is this model made,made in china
742,is it septic safe,yes it is
743,what diameter is the hole,2 inches
744,can be used to uplight a figurine on a tabletop,absolutely
745,is it plug in or hard wired,hard wired
746,how much water does the bottle hold,8 ounces
747,how tall is it,8 inches
748,what is the diameter of the exhaust duct,4 inches
749,what is the diameter of the tubing,34 inches
750,is it a right hand blade,yes it is
751,is it suitabla to all kind of lavatories,absolutely
752,sensors included,yes they are
753,electric motor marrthon fr48z will the daton fr 48y interchange,sorry dont know
754,are these bosch saws made in the usa,made in china
755,how much does this device weigh,22 ounces
756,is the color white or beige,white
757,is this a hard wired lamp or plug in,hard wired
758,does it take a u shank or a t blade,both
759,light bulb is the light bulb included,yes it is
760,are the arms the same length,yes they are
761,what is the diameter of this cover,20 12 inches
762,can the sockets be rotated or is it swivel only,both
763,how high is each drawer,7 inches
764,is there a recloseable cap on this eyewash,yes there is
765,does this item come with a warranty,6 years
766,where to find the troubleshooting steps for this item,dont know sorry
767,how many years for its warranty,6 years
768,is this turpentine distilled,yes it is
769,are the distiller 110 volts,yes it is
770,does this include the magnet or just the transmitter,both
771,so is the color white or gray,white
772,what is the center to center distance on the screw holes,15 inches
773,how long is the chain,approximately 7 inches
774,will this work for shells and jewelry making,of course
775,will it fit a 1 38 hole,yes it will
776,what is the length of the drums,4 12 inches
777,are the grains clear or white,white
778,is it dimmable,yes it is
